,ATTENDANTS.PERICLES,ATTENDANTS.PERICLES.1,ATTENDANTS.SIMONIDES,Antiochus,Bawd,Bolt,CITIZENS.TARSUS,Cerimon,Cleon,Companion,Daughter,Diana,Dionyza,FISHERMEN.1,FISHERMEN.2,FISHERMEN.3,FOLLOWERS.ANTIOCHUS,GENTLEMEN.EPHESUS.1,GENTLEMEN.EPHESUS.2,GENTLEMEN.MYTILENE.1,GENTLEMEN.MYTILENE.2,GENTLEMEN.TYRE,Gower,Helicanus,KNIGHTS,LADIES.PENTAPOLIS,LORDS.MYTILENE,LORDS.MYTILENE.0.1,LORDS.PENTAPOLIS,LORDS.TARSUS.1,LORDS.TYRE,LORDS.TYRE.Escanes,Leonine,Lychorida,Lysimachus,MESSENGERS.ANTIOCH.1,Marina,Marina.Infant,Marshal,PIRATES,PRIESTESSES,Pander,Pericles,Philemon,SAILORS.1,SAILORS.2,SAILORS.MYTILENE.1,SAILORS.TYRE.1,SERVANTS.CERIMON,SERVANTS.CERIMON.0.2,SUPPLIANTS.1,SUPPLIANTS.2,Simonides,Thaisa,Thaliard
Diana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,10,0,0,0,0,0
Dionyza,25,0,0,0,0,0,110,0,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,57,48,0,0,43,48,0,0,0,0,73,0,0,0,0,0,0,162,0,0,0,0,0
FISHERMEN.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161,0,0,0,0,0,0,0,0,0,0,0,0
FISHERMEN.2,0,0,0,0,0,0,0,0,0,0,0,0,0,139,0,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,0,0,0,0,0,0,0,0,0,0,0,0
FISHERMEN.3,0,0,0,0,0,0,0,0,0,0,0,0,0,139,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,0,0,0,0,0,0,0,0,0,0,0,0
FOLLOWERS.ANTIOCHUS,0,0,0,126,0,0,0,0,0,0,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,0,0,0,0,0,0,0,0,0,0,0,0
GENTLEMEN.EPHESUS.1,0,0,0,0,0,0,0,117,0,0,0,0,0,0,0,0,0,0,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,30,0,0,0,0,0
GENTLEMEN.EPHESUS.2,0,0,0,0,0,0,0,117,0,0,0,0,0,0,0,0,0,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,30,0,0,0,0,0
GENTLEMEN.MYTILENE.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0
GENTLEMEN.MYTILENE.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0
GENTLEMEN.TYRE,0,0,0,0,0,0,0,0,0,201,0,0,0,0,0,0,0,0,0,0,0,0,0,264,0,0,260,201,0,0,0,0,0,0,260,0,201,0,0,0,0,0,233,0,0,0,260,264,0,264,0,0,0,0,0
Gower,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166,0,0,0,0,0
Helicanus,114,0,0,0,0,0,0,98,0,201,0,0,0,0,0,0,0,0,0,0,0,264,0,0,0,0,260,315,0,0,90,60,0,0,374,0,315,0,0,0,98,0,443,0,0,0,266,272,0,386,0,0,0,98,30
KNIGHTS,0,0,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,0,0,123,0,0,0,0,0,0,0,0,0,123,0,0,0,123,0,0,0,0,0,0,0,0,0,135,123,0
LADIES.PENTAPOLIS,0,0,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,0,0,0,123,0,0,0,0,0,0,0,0,0,123,0,0,0,123,0,0,0,0,0,0,0,0,0,123,123,0
LORDS.MYTILENE,0,0,0,0,0,0,0,0,0,201,0,0,0,0,0,0,0,0,0,0,0,260,0,260,0,0,0,201,0,0,0,0,0,0,260,0,201,0,0,0,0,0,233,0,0,0,260,260,0,260,0,0,0,0,0
LORDS.MYTILENE.0.1,114,0,0,0,0,0,0,98,0,201,0,10,0,0,0,0,0,0,0,0,0,201,38,315,0,0,201,0,0,0,0,0,0,0,315,0,315,0,0,0,98,0,328,0,0,0,201,201,0,366,0,0,0,98,0
LORDS.PENTAPOLIS,0,0,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,123,0,0,0,0,0,0,0,0,0,0,0,0,123,0,0,0,123,0,0,0,0,0,0,0,0,0,184,184,0
LORDS.TARSUS.1,0,0,0,0,0,0,27,0,27,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LORDS.TYRE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,30
LORDS.TYRE.Escanes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leonine,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,1,0,0,0,0,0,0,0,0,0,111,0,0,0,0,0
Lychorida,0,0,0,0,0,0,0,0,48,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,0,0,0,0,108,0,33,33,0,0,0,48,0,0,0,0,0
Lysimachus,114,0,0,0,52,57,0,98,0,201,0,0,0,0,0,0,0,0,0,0,0,260,0,374,0,0,260,315,0,0,0,0,0,0,0,0,402,0,0,0,98,44,347,0,0,0,260,260,0,486,0,0,0,98,0
Marina,114,0,0,0,163,196,0,98,0,201,0,0,43,0,0,0,0,0,0,0,0,201,0,315,0,0,201,315,0,0,0,0,90,0,402,0,0,0,0,20,98,64,315,0,0,0,201,201,0,690,0,0,0,98,0
Marina.Infant,0,0,0,0,0,0,0,0,48,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,0,0,0,0,0,0,0,0,120,0,45,45,0,0,0,48,0,0,0,0,0
Marshal,0,0,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,123,0,0,123,0,0,0,0,0,0,0,0,0,0,0,0,0,123,0,0,0,0,0,0,0,0,0,123,123,0
PIRATES,0,0,0,0,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,20,0,0,0,0,16,0,0,0,0,0,0,0,20,0,0,0,0,0
PRIESTESSES,98,0,0,0,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,0,0,0,98,0,0,0,0,0,0,98,0,98,0,0,0,0,0,98,0,0,0,0,0,0,98,0,0,0,98,0
Pander,0,0,0,0,136,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,64,0,0,16,0,0,0,0,0,0,0,0,0,136,0,0,0,0,0
Pericles,139,1,123,126,0,0,25,98,73,201,114,10,73,161,139,139,126,0,0,0,0,233,0,443,123,123,233,328,123,0,17,0,0,108,347,0,315,120,123,0,98,0,0,0,45,45,233,233,0,408,0,0,197,249,0
Philemon,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0
SAILORS.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,45,0,0,0,0,45,0,0,45,0,0,0,0,0,0,0,0,0
SAILORS.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,45,0,0,0,0,45,0,45,0,0,0,0,0,0,0,0,0,0
SAILORS.MYTILENE.1,0,0,0,0,0,0,0,0,0,201,0,0,0,0,0,0,0,0,0,0,0,260,0,266,0,0,260,201,0,0,0,0,0,0,260,0,201,0,0,0,0,0,233,0,0,0,0,266,0,266,0,0,0,0,0
SAILORS.TYRE.1,0,0,0,0,0,0,0,0,0,201,0,0,0,0,0,0,0,0,0,0,0,264,0,272,0,0,260,201,0,0,0,0,0,0,260,0,201,0,0,0,0,0,233,0,0,0,266,0,0,272,0,0,0,0,0
SERVANTS.CERIMON,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,75,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0
SERVANTS.CERIMON.0.2,114,0,0,0,243,262,0,145,105,201,0,10,162,0,0,0,0,30,30,9,9,264,166,386,0,0,260,366,0,0,0,0,111,48,486,0,690,48,0,20,98,136,408,0,0,0,266,272,30,0,0,0,0,115,0
SUPPLIANTS.1,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,11,0,0,0
SUPPLIANTS.2,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,11,0,0,0,0
Simonides,0,0,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,123,0,0,184,0,0,0,0,0,0,0,0,0,123,0,0,0,197,0,0,0,0,0,0,0,0,0,0,212,0
Thaisa,98,0,184,0,0,0,0,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,123,123,0,98,184,0,0,0,0,0,98,0,98,0,123,0,98,0,249,0,0,0,0,0,0,115,0,0,212,0,0
Thaliard,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,30,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
