,AMBASSADORS.ARMAGNAC.1,AMBASSADORS.EMPEROR.1,ATTENDANTS.ENGLISH,ATTENDANTS.FRENCH,Alanson,Basset,Bastard,Bedford,Burgundy,CardinalBeaufort,Charles,Countess,Exeter,Fastolf,Gargrave,General,Glansdale,Gloucester,Governor,HERALDS.ENGLISH,HERALDS.FRENCH.1,HenryVI,JAILERS,JohnTalbot,Lawyer,Legate,Lucy,MESSENGERS.ENGLISH.1,MESSENGERS.ENGLISH.2,MESSENGERS.ENGLISH.3,MESSENGERS.ENGLISH.X.1,MESSENGERS.ENGLISH.X.2,MESSENGERS.FRENCH.1,Mayor,Mortimer,OFFICERS,Porter,Pucelle,QueenMargaret,Reignier,SERVANTS.GLOUCESTER,SERVANTS.TALBOT.1,SERVANTS.WINCHESTER,SOLDIERS.ENGLISH,SOLDIERS.ENGLISH.0,SOLDIERS.ENGLISH.1,SOLDIERS.ENGLISH.Captain,SOLDIERS.ENGLISH.SOMERSET,SOLDIERS.ENGLISH.YORK,SOLDIERS.FRENCH,SOLDIERS.FRENCH.PUCELLE,SOLDIERS.FRENCH.Scout,SOLDIERS.FRENCH.Sergeant,SPIRITS,Salisbury,Shepherd,Somerset,Suffolk,Talbot,Vernon,WATCHMEN.1,WATCHMEN.2,Warwick,York
SOLDIERS.FRENCH.Scout,0,0,0,0,14,0,14,0,14,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,14,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOLDIERS.FRENCH.Sergeant,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0
SPIRITS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Salisbury,0,0,67,0,0,0,0,11,11,0,0,0,0,0,67,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0
Shepherd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,34,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,34
Somerset,0,0,180,0,0,123,0,169,0,576,0,0,571,39,0,0,0,568,174,180,0,396,0,0,115,0,37,26,7,60,0,0,0,77,0,0,0,0,0,0,67,0,67,27,0,0,0,46,0,0,0,0,0,0,0,0,0,510,105,238,0,0,691,511
Suffolk,0,0,101,0,0,123,0,0,0,396,0,0,498,39,0,0,0,498,174,0,0,497,0,0,114,0,0,0,0,0,0,0,0,77,0,0,0,0,147,46,67,0,67,183,176,0,0,0,0,0,0,0,0,0,0,0,510,0,105,237,0,0,510,510
Talbot,0,0,176,0,98,27,98,157,245,105,98,74,105,39,67,39,89,105,78,0,46,105,0,193,0,0,46,0,0,0,12,0,102,0,0,0,52,113,0,34,0,97,0,218,11,0,0,0,0,129,0,0,0,0,100,0,105,105,0,27,33,33,105,105
Vernon,0,0,0,0,0,139,0,0,0,123,0,0,131,0,0,0,0,123,96,0,0,123,0,0,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,238,237,27,0,0,0,266,266
WATCHMEN.1,0,0,0,0,0,0,0,33,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,33,0,0,41,0,0
WATCHMEN.2,0,0,0,0,0,0,0,33,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,33,0,41,0,0,0
Warwick,0,0,180,59,59,123,59,169,0,657,59,0,579,39,0,0,0,568,174,180,0,396,0,0,135,0,0,26,7,60,0,0,0,77,0,92,0,92,0,59,67,0,67,27,175,0,0,0,0,0,0,0,0,0,0,34,691,510,105,266,0,0,0,714
York,0,0,0,59,59,123,59,0,0,477,59,0,404,39,0,0,0,396,174,0,0,396,89,0,135,0,30,0,0,0,0,9,0,77,89,92,0,107,0,59,67,0,67,42,175,0,0,0,47,0,0,0,0,0,0,34,511,510,105,266,0,0,714,0
