,Ulysses,Hector,Agamemnon,Troilus,Aeneas,Nestor,Pandarus,Achilles,Cressida,Thersites,Diomedes,Ajax,Paris,Calchas,Patroclus,Cassandra,Menelaus,Helen,Priam,Alexander,Andromache,Helenus,SERVANTS.PARIS.1,Deiphobus,SOLDIERS,MYRMIDONS.0.1,Boy,Bastard,SERVANTS.TROILUS.1,SERVANTS.DIOMEDES.1,SOLDIERS.TROJAN,Antenor,SERVANTS.AENEAS.1,SOLDIERS.GREEK,ATTENDANTS.GREEK,MYRMIDONS,ATTENDANTS.TROJAN,SOLDIERS.GREEK.1,Trumpeter
Diomedes,327,48,108,418,263,131,0,63,339,258,22,155,447,52,40,0,66,0,0,0,0,25,0,422,0,0,0,0,0,45,0,422,120,10,344,0,25,0,40
Ajax,401,155,476,165,136,476,0,265,0,153,456,23,72,236,265,0,234,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,21,194,0,72,0,194
Paris,0,256,0,301,283,0,166,0,3,0,350,0,0,0,0,0,0,244,256,0,0,256,244,368,0,0,0,0,0,0,1,368,196,0,281,0,244,0,0
Calchas,269,0,269,0,0,269,0,0,0,0,277,269,0,0,0,0,269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Patroclus,151,0,118,0,0,118,0,397,44,190,118,135,0,74,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,44
Cassandra,0,341,0,271,0,0,0,0,0,0,0,0,123,0,0,0,0,0,271,0,116,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Menelaus,109,35,101,35,29,101,0,106,63,6,101,106,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,92
Helen,0,0,0,0,0,0,203,0,0,0,0,0,239,0,0,0,0,0,0,0,0,0,239,0,0,0,0,0,0,0,0,0,0,0,0,0,239,0,0
Priam,0,177,0,177,0,0,0,0,0,0,0,0,112,0,0,55,0,0,0,0,55,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alexander,0,0,0,0,0,0,15,0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andromache,0,139,0,14,0,0,0,0,0,0,0,0,0,0,0,104,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Helenus,0,41,0,41,0,0,0,0,0,0,0,0,41,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SERVANTS.PARIS.1,0,0,0,0,0,0,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Deiphobus,0,0,0,1,13,0,0,0,0,0,6,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,6,0,6,0,0,0,0
SOLDIERS,0,0,9,0,0,9,0,0,0,0,9,9,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0
MYRMIDONS.0.1,0,10,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0
Boy,0,0,0,0,0,0,20,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bastard,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
SERVANTS.TROILUS.1,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SERVANTS.DIOMEDES.1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOLDIERS.TROJAN,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Antenor,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
SERVANTS.AENEAS.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOLDIERS.GREEK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATTENDANTS.GREEK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MYRMIDONS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATTENDANTS.TROJAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOLDIERS.GREEK.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trumpeter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
