,ATTENDANTS,ATTENDANTS.0.1,ATTENDANTS.1,ATTENDANTS.2,ATTENDANTS.3,ATTENDANTS.CLOTEN.1,ATTENDANTS.CLOTEN.2,Arviragus,Belarius,Cloten,Cornelius,Cymbeline,Dutchman,Frenchman,GHOSTS.BROTHERS.1,GHOSTS.BROTHERS.2,GHOSTS.Father,GHOSTS.Mother,Guiderius,Iachimo,Imogen,JAILERS.1,JAILERS.2,Jupiter,LADIES.IMOGEN,LADIES.QUEEN,Lucius,MESSENGERS.1,MESSENGERS.2,MUSICIANS,Philario,Pisanio,Posthumus,Queen,SENATORS.1,SENATORS.2,SOLDIERS.BRITON,SOLDIERS.BRITON.0,SOLDIERS.ROMAN,Soothsayer,Spaniard,TRIBUNES
MESSENGERS.1,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MESSENGERS.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0
MUSICIANS,0.0,0.0,0.0,0.0,0.0,20.0,20.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Philario,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,181.0,181.0,0.0,0.0,0.0,0.0,0.0,344.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,340.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,181.0,0.0
Pisanio,629.0,0.0,0.0,0.0,0.0,0.0,0.0,586.0,586.0,84.0,582.0,629.0,0.0,0.0,0.0,0.0,0.0,0.0,586.0,561.0,937.0,0.0,0.0,0.0,5.0,563.0,506.0,0.0,0.0,0.0,0.0,0.0,506.0,84.0,0.0,0.0,506.0,586.0,506.0,506.0,0.0,0.0
Posthumus,514.0,0.0,0.0,0.0,71.0,0.0,0.0,506.0,506.0,0.0,506.0,514.0,150.0,150.0,94.0,94.0,94.0,94.0,506.0,817.0,580.0,51.0,3.0,21.0,0.0,506.0,506.0,0.0,7.0,0.0,340.0,506.0,0.0,23.0,0.0,0.0,520.0,707.0,612.0,506.0,150.0,0.0
Queen,223.0,15.0,0.0,0.0,0.0,36.0,36.0,0.0,0.0,202.0,54.0,203.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,0.0,0.0,0.0,0.0,8.0,114.0,2.0,0.0,0.0,0.0,84.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SENATORS.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,19.0
SENATORS.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0
SOLDIERS.BRITON,506.0,0.0,0.0,0.0,0.0,0.0,0.0,510.0,510.0,0.0,506.0,510.0,0.0,0.0,0.0,0.0,0.0,0.0,510.0,506.0,506.0,0.0,0.0,0.0,0.0,506.0,506.0,0.0,0.0,0.0,0.0,506.0,520.0,0.0,0.0,0.0,0.0,506.0,524.0,506.0,0.0,0.0
SOLDIERS.BRITON.0,586.0,0.0,0.0,0.0,0.0,0.0,0.0,586.0,586.0,0.0,559.0,586.0,0.0,0.0,94.0,94.0,94.0,94.0,586.0,506.0,506.0,60.0,3.0,21.0,0.0,559.0,506.0,0.0,7.0,0.0,0.0,586.0,707.0,0.0,0.0,0.0,506.0,0.0,506.0,506.0,0.0,0.0
SOLDIERS.ROMAN,506.0,0.0,0.0,0.0,71.0,0.0,0.0,510.0,510.0,0.0,506.0,510.0,0.0,0.0,0.0,0.0,0.0,0.0,510.0,512.0,593.0,0.0,0.0,0.0,0.0,506.0,593.0,0.0,0.0,0.0,0.0,506.0,612.0,0.0,0.0,0.0,524.0,506.0,0.0,587.0,0.0,0.0
Soothsayer,506.0,0.0,0.0,0.0,0.0,0.0,0.0,506.0,506.0,0.0,506.0,506.0,0.0,0.0,0.0,0.0,0.0,0.0,506.0,506.0,587.0,0.0,0.0,0.0,0.0,506.0,587.0,0.0,0.0,0.0,0.0,506.0,506.0,0.0,0.0,0.0,506.0,506.0,587.0,0.0,0.0,0.0
Spaniard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,181.0,181.0,0.0,0.0,0.0,0.0,0.0,178.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,181.0,0.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TRIBUNES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0
