,AMBASSADORS.ARMAGNAC.1,AMBASSADORS.EMPEROR.1,ATTENDANTS.ENGLISH,ATTENDANTS.FRENCH,Alanson,Basset,Bastard,Bedford,Boy,Burgundy,CardinalBeaufort,Charles,Countess,Exeter,Fastolf,Gargrave,General,Glansdale,Gloucester,Governor,HERALDS.ENGLISH,HERALDS.FRENCH.1,HenryVI,JAILERS,JohnTalbot,Lawyer,Legate,Lucy,MESSENGERS.ENGLISH.1,MESSENGERS.ENGLISH.2,MESSENGERS.ENGLISH.3,MESSENGERS.ENGLISH.X.1,MESSENGERS.ENGLISH.X.2,MESSENGERS.FRENCH.1,MasterGunner,Mayor,Mortimer,OFFICERS,Porter,Pucelle,QueenMargaret,Reignier,SERVANTS.GLOUCESTER,SERVANTS.TALBOT.1,SERVANTS.WINCHESTER,SOLDIERS.ENGLISH,SOLDIERS.ENGLISH.0,SOLDIERS.ENGLISH.1,SOLDIERS.ENGLISH.Captain,SOLDIERS.ENGLISH.SOMERSET,SOLDIERS.ENGLISH.YORK,SOLDIERS.FRENCH,SOLDIERS.FRENCH.PUCELLE,SOLDIERS.FRENCH.Scout,SOLDIERS.FRENCH.Sergeant,SPIRITS,Salisbury,Shepherd,Somerset,Suffolk,Talbot,Vernon,WATCHMEN.1,WATCHMEN.2,Warwick,York
SOLDIERS.FRENCH.Scout,0.0,0.0,0.0,0.0,14.0,0.0,14.0,0.0,0.0,14.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SOLDIERS.FRENCH.Sergeant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0
SPIRITS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Salisbury,0.0,0.0,67.0,0.0,0.0,0.0,0.0,11.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,67.0,0.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Shepherd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,34.0
Somerset,0.0,0.0,180.0,0.0,0.0,123.0,0.0,169.0,0.0,0.0,576.0,0.0,0.0,571.0,39.0,0.0,0.0,0.0,568.0,174.0,180.0,0.0,396.0,0.0,0.0,115.0,0.0,37.0,26.0,7.0,60.0,0.0,0.0,0.0,0.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,0.0,67.0,27.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,510.0,105.0,238.0,0.0,0.0,691.0,511.0
Suffolk,0.0,0.0,101.0,0.0,0.0,123.0,0.0,0.0,0.0,0.0,396.0,0.0,0.0,498.0,39.0,0.0,0.0,0.0,498.0,174.0,0.0,0.0,497.0,0.0,0.0,114.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,0.0,0.0,0.0,0.0,147.0,46.0,67.0,0.0,67.0,183.0,176.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,510.0,0.0,105.0,237.0,0.0,0.0,510.0,510.0
Talbot,0.0,0.0,176.0,0.0,98.0,27.0,98.0,157.0,0.0,245.0,105.0,98.0,74.0,105.0,39.0,67.0,39.0,89.0,105.0,78.0,0.0,46.0,105.0,0.0,193.0,0.0,0.0,46.0,0.0,0.0,0.0,12.0,0.0,102.0,0.0,0.0,0.0,0.0,52.0,113.0,0.0,34.0,0.0,97.0,0.0,218.0,11.0,0.0,0.0,0.0,0.0,129.0,0.0,0.0,0.0,0.0,100.0,0.0,105.0,105.0,0.0,27.0,33.0,33.0,105.0,105.0
Vernon,0.0,0.0,0.0,0.0,0.0,139.0,0.0,0.0,0.0,0.0,123.0,0.0,0.0,131.0,0.0,0.0,0.0,0.0,123.0,96.0,0.0,0.0,123.0,0.0,0.0,135.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,238.0,237.0,27.0,0.0,0.0,0.0,266.0,266.0
WATCHMEN.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,41.0,0.0,0.0
WATCHMEN.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,41.0,0.0,0.0,0.0
Warwick,0.0,0.0,180.0,59.0,59.0,123.0,59.0,169.0,0.0,0.0,657.0,59.0,0.0,579.0,39.0,0.0,0.0,0.0,568.0,174.0,180.0,0.0,396.0,0.0,0.0,135.0,0.0,0.0,26.0,7.0,60.0,0.0,0.0,0.0,0.0,77.0,0.0,92.0,0.0,92.0,0.0,59.0,67.0,0.0,67.0,27.0,175.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,691.0,510.0,105.0,266.0,0.0,0.0,0.0,714.0
York,0.0,0.0,0.0,59.0,59.0,123.0,59.0,0.0,0.0,0.0,477.0,59.0,0.0,404.0,39.0,0.0,0.0,0.0,396.0,174.0,0.0,0.0,396.0,89.0,0.0,135.0,0.0,30.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,77.0,89.0,92.0,0.0,107.0,0.0,59.0,67.0,0.0,67.0,42.0,175.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,511.0,510.0,105.0,266.0,0.0,0.0,714.0,0.0
